Feb 15, 2020	0	null	0	0
Feb 16, 2020	0	null	0	0
Feb 17, 2020	0	null	0	0
Feb 18, 2020	0	null	0	0
Feb 19, 2020	0	null	0	0
Feb 20, 2020	0	null	0	0
Feb 21, 2020	0	null	0	0
Feb 22, 2020	0	null	0	0
Feb 23, 2020	0	null	0	0
Feb 24, 2020	0	null	0	0
Feb 25, 2020	0	null	0	0
Feb 26, 2020	0	null	0	0
Feb 27, 2020	0	null	0	0
Feb 28, 2020	0	null	0	0
Feb 29, 2020	0	null	0	0
Mar 01, 2020	0	null	0	0
Mar 02, 2020	0	null	0	0
Mar 03, 2020	0	null	0	0
Mar 04, 2020	0	null	0	0
Mar 05, 2020	1	null	0	0
Mar 06, 2020	1	null	0	0
Mar 07, 2020	2	null	0	0
Mar 08, 2020	3	null	0	0
Mar 09, 2020	7	null	0	0
Mar 10, 2020	7	null	0	0
Mar 11, 2020	13	null	0	0
Mar 12, 2020	16	null	0	0
Mar 13, 2020	24	null	0	0
Mar 14, 2020	38	null	0	0
Mar 15, 2020	61	null	0	0
Mar 16, 2020	64	null	0	0
Mar 17, 2020	85	null	0	0
Mar 18, 2020	116	null	0	0
Mar 19, 2020	150	null	0	0
Mar 20, 2020	202	null	0	0
Mar 21, 2020	238	null	0	0
Mar 22, 2020	272	null	0	0
Mar 23, 2020	399	null	0	0
Mar 24, 2020	552	null	0	0
Mar 25, 2020	700	null	0	0
Mar 26, 2020	919	null	0	0
Mar 27, 2020	1143	null	0	0
Mar 28, 2020	1160	0	0	0
Mar 29, 2020	1253	1	0	0
Mar 30, 2020	1298	1	0	0
Mar 31, 2020	1323	2	0	0
Apr 01, 2020	1331	0	0	0
Apr 02, 2020	1413	0	0	0
Apr 03, 2020	1407	4	0	0
Apr 04, 2020	1487	0	0	0
Apr 05, 2020	1555	2	0	0
Apr 06, 2020	1585	1	0	0
Apr 07, 2020	1647	1	0	0
Apr 08, 2020	1739	5	0	0
Apr 09, 2020	1829	0	0	0
Apr 10, 2020	1575	6	0	0
Apr 11, 2020	1599	1	0	0
Apr 12, 2020	1745	0	0	0
Apr 13, 2020	1843	2	0	0
Apr 14, 2020	1987	0	0	0
Apr 15, 2020	2072	7	0	0
Apr 16, 2020	1662	14	0	0
Apr 17, 2020	1839	2	0	0
Apr 18, 2020	2090	2	0	0
Apr 19, 2020	2213	2	0	0
Apr 20, 2020	2199	4	0	0
Apr 21, 2020	2365	0	0	0
Apr 22, 2020	2529	7	0	0
Apr 23, 2020	2418	10	0	0
Apr 24, 2020	2683	4	0	0
Apr 25, 2020	2818	7	0	0
Apr 26, 2020	3003	1	0	0
Apr 27, 2020	3248	3	0	0
Apr 28, 2020	2845	3	0	0
Apr 29, 2020	3191	10	0	0
Apr 30, 2020	3490	0	0	0
May 01, 2020	3472	13	0	0
May 02, 2020	3684	7	0	0
May 03, 2020	4126	8	0	0
May 04, 2020	4361	7	0	0
May 05, 2020	4705	10	0	0
May 06, 2020	4528	5	0	0
May 07, 2020	4947	8	0	0
May 08, 2020	5597	17	0	0
May 09, 2020	5282	8	0	0
May 10, 2020	5682	8	0	0
May 11, 2020	6126	12	0	0
May 12, 2020	6828	0	0	0
May 13, 2020	7153	13	0	0
May 14, 2020	6866	19	0	0
May 15, 2020	7238	9	0	0
