62	Guatemala	1291293	0	20289	0	1269891	0	1113	5	69484	1092	7593848	408622	18584039
63	Morocco	1278992	0	16303	0	0	0	0	0	33860	432	13001033	344191	37772756
64	Lebanon	1243838	0	10952	0	1087587	0	145299	74	186068	1638	4795578	717380	6684849
65	CostaRica	1238883	0	9428	0	0	0	0	0	239058	1819	4659757	899158	5182354
66	Bolivia	1211716	0	22407	0	1177145	0	12164	220	101038	1868	2710261	225993	11992656
67	Tunisia	1153361	0	29423	0	0	0	0	0	95741	2442	5013383	416164	12046656
68	Cuba	1115251	0	8530	0	1106659	0	62	0	98645	754	14402486	1273919	11305652
69	Ecuador	1070188	0	36043	0	1034145	0	0	0	59083	1990	3082403	170173	18113361
70	UAE	1067030	0	2349	0	0	0	0	0	105837	233	200732262	19910389	10081785
71	Panama	1059893	0	8727	0	1051102	0	64	16	238341	1962	7882622	1772585	4446964
72	Uruguay	1041111	0	7664	0	1030944	0	2503	18	297799	2192	6114822	1749083	3496016
73	Mongolia	1011496	0	2284	0	1009212	0	0	0	299429	676	4030048	1193000	3378078
74	Nepal	1003450	0	12031	0	991322	0	97	0	33199	398	6047766	200088	30225582
75	Belarus	994037	0	7118	0	985592	0	1327	0	105381	755	13646641	1446722	9432800
76	Latvia	982399	0	6712	0	971406	0	4281	0	531361	3630	7885792	4265272	1848837
77	SaudiArabia	841469	0	9646	0	0	0	0	0	23475	269	45481735	1268848	35844909
78	Paraguay	837602	0	20155	0	0	0	0	0	114648	2759	2657506	363751	7305843
79	Azerbaijan	835136	0	10400	0	824089	0	647	0	81080	1010	7748050	752223	10300205
80	Bahrain	729549	0	1574	0	727915	0	60	0	408944	882	10948549	6137138	1783983
81	Cyprus	681110	0	1365	0	679745	0	0	0	556741	1116	9640118	7879860	1223387
82	DominicanRepublic	675890	0	4384	0	671316	0	190	4	61131	397	3740928	338350	11056370
83	SriLanka	672754	0	16897	0	655852	0	5	0	31181	783	6486117	300619	21575842
84	Kuwait	667158	0	2570	0	0	0	0	0	152308	587	8455743	1930391	4380326
85	Myanmar	641873	0	19495	0	620159	0	2219	0	11622	353	11711514	212061	55227143
86	Moldova	635145	0	12218	0	0	0	0	0	158265	3044	3216305	801437	4013171
87	Estonia	628044	0	3001	0	0	0	0	0	475103	2270	6953709	5260350	1321910
88	Palestine	621008	0	5404	0	615445	0	159	0	116173	1011	3078533	575907	5345541
89	Venezuela	552695	0	5856	0	546537	0	302	31	18885	200	3359014	114771	29266991
90	Egypt	516023	0	24613	0	442182	0	49228	122	4861	232	3693367	34792	106156692
91	Qatar	514524	0	690	0	513687	0	147	16	172664	232	4065369	1364257	2979915
92	Libya	507274	0	6437	0	500835	0	2	0	72048	914	2483848	352782	7040745
93	Ethiopia	501157	0	7574	0	488171	0	5412	0	4148	63	5565340	46066	120812698
94	Runion	494595	0	921	0	0	0	0	0	544672	1014	1603660	1766027	908061
95	Honduras	474590	0	11165	0	0	0	0	0	46432	1092	1660662	162472	10221247
96	Armenia	451831	0	8777	0	435162	0	7892	0	152031	2953	3242901	1091164	2971966
97	BosniaandHerzegovina	403603	0	16387	0	379084	0	8132	0	124212	5043	1884721	580036	3249317
98	Oman	399449	0	4628	0	0	0	0	0	75028	869	25000000	4695724	5323993
99	Luxembourg	391232	0	1232	0	0	0	0	0	609044	1918	4587145	7140959	642371
100	NorthMacedonia	350567	0	9976	0	337068	0	3523	0	168436	4793	2226216	1069626	2081304
